Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Time,Day_of_week
31-50,Male,Elementary school,Owner,1-2yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to pedestrian,2,15:20:00,Wednesday
Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2,18:23:00,Saturday
18-30,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,18:23:00,Saturday
31-50,Male,Junior high school,Employee,2-5yr,other,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1,5:24:00,Friday
18-30,Unknown,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,12:15:00,Saturday
31-50,Male,Junior high school,Owner,Below 1yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Reversing,Not a Pedestrian,Changing lane to the right,2,22:15:00,Friday
31-50,Male,High school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,6:35:00,Friday
31-50,Male,Junior high school,Employee,Unknown,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,6:35:00,Friday
Under 18,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,1,17:34:00,Thursday
Under 18,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Parked,Not a Pedestrian,Changing lane to the right,1,17:34:00,Thursday
18-30,Unknown,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,2,4:00:00,Friday
18-30,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,4:00:00,Friday
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Overtaking,2,4:00:00,Friday
18-30,Unknown,Unknown,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,4:00:00,Friday
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,15:50:00,Saturday
Under 18,Male,Junior high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Stopping,Not a Pedestrian,Other,2,8:50:00,Friday
18-30,Male,Illiterate,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,0:25:00,Sunday
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Overtaking,Not a Pedestrian,Changing lane to the right,2,0:25:00,Sunday
31-50,Male,Junior high school,Employee,Below 1yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Overtaking,2,0:25:00,Sunday
18-30,Male,Junior high school,Employee,1-2yr,Unknown,No junction,Asphalt roads,Darkness - lights lit,Raining and Windy,Collision with roadside objects,Reversing,Not a Pedestrian,Other,2,0:10:00,Sunday
18-30,Male,Elementary school,Employee,2-5yr,Double carriageway (median),No junction,Earth roads,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,0:10:00,Sunday
Unknown,Female,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,15:20:00,Saturday
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Unknown,Daylight,Cloudy,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No priority to vehicle,2,15:20:00,Saturday
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,15:20:00,Saturday
Under 18,Male,Unknown,Unknown,Unknown,Unknown,Y Shape,Asphalt roads,Darkness - lights lit,Raining,With Train,Moving Backward,Not a Pedestrian,Other,2,16:30:00,Saturday
Under 18,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,16:30:00,Saturday
Under 18,Male,Junior high school,Employee,Above 10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to pedestrian,2,1:05:00,Friday
31-50,Male,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,1:05:00,Friday
Over 51,Male,Junior high school,Employee,unknown,Undivided Two way,Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,19:40:00,Monday
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Changing lane to the right,2,19:40:00,Monday
31-50,Male,Junior high school,Employee,2-5yr,Unknown,Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,19:40:00,Monday
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,19:08:00,Tuesday
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,Moving Backward,2,19:08:00,Tuesday
Over 51,Male,High school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving at high speed,2,17:50:00,Saturday
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Moving Backward,2,17:50:00,Saturday
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,21:30:00,Sunday
31-50,Unknown,Elementary school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Other,2,21:30:00,Sunday
Over 51,Male,High school,Owner,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to vehicle,2,14:49:00,Monday
Over 51,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Changing lane to the right,2,14:49:00,Monday
18-30,Unknown,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,14:49:00,Monday
31-50,Male,Unknown,Unknown,Unknown,Unknown,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No distancing,2,17:40:00,Sunday
Over 51,Male,Junior high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,17:40:00,Sunday
18-30,Male,Above high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,21:55:00,Saturday
18-30,Male,Junior high school,Employee,5-10yr,other,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,21:55:00,Saturday
18-30,Male,Junior high school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,7:30:00,Tuesday
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,7:30:00,Tuesday
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,10:41:00,Wednesday
31-50,Male,Junior high school,Employee,Below 1yr,One way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,13:16:00,Wednesday
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,13:16:00,Wednesday
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Other,2,13:16:00,Wednesday
18-30,Male,Above high school,Employee,5-10yr,Undivided Two way,Y Shape,Other,Daylight,Normal,Collision with pedestrians,Moving Backward,Not a Pedestrian,No distancing,2,11:30:00,Thursday
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to pedestrian,2,11:30:00,Thursday
Unknown,Female,Elementary school,Owner,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Moving Backward,2,16:20:00,Friday
31-50,Male,Unknown,Unknown,Unknown,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,16:20:00,Friday
Over 51,Unknown,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,16:20:00,Friday
31-50,Male,Junior high school,Unknown,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,1,1:10:00,Friday
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,1,20:40:00,Monday
18-30,Male,Junior high school,Owner,2-5yr,other,No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Getting off the vehicle improperly,1,20:40:00,Monday
18-30,Male,Unknown,Employee,unknown,Two-way (divided with broken lines road marking),No junction,Other,Darkness - no lighting,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,17:50:00,Wednesday
18-30,Unknown,Junior high school,Employee,Above 10yr,Double carriageway (median),No junction,Asphalt roads,Darkness - no lighting,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,17:50:00,Wednesday
18-30,Male,Junior high school,Owner,2-5yr,One way,No junction,Asphalt roads,Darkness - no lighting,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,17:50:00,Wednesday
Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,17:11:00,Wednesday
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,O Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,21:03:00,Monday
18-30,Male,Junior high school,Employee,1-2yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,15:20:00,Monday
Unknown,Female,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,18:30:00,Monday
Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,8:15:00,Wednesday
Unknown,Female,Elementary school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,15:20:00,Tuesday
18-30,Unknown,Above high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Crossing,Unknown,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,18:17:00,Friday
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Other,Darkness - lights lit,Raining,Collision with roadside objects,Reversing,Unknown or other,Changing lane to the left,2,18:17:00,Friday
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Raining,Collision with pedestrians,Going straight,Crossing from driver's nearside,No priority to vehicle,2,19:31:00,Wednesday
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,19:31:00,Wednesday
31-50,Unknown,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Turnover,1,9:25:00,Friday
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Crossing from driver's nearside,No distancing,1,9:25:00,Friday
